protein name	cluster
HGFAC	58
TSPO	58
VSIG1	58
NINJ2	58
MAP2K5	59
MAP1LC3B	59
PRKCI	59
SQSTM1	59
ATG4B	59
GABARAP	59
MICALL2	60
SYNPO2L	60
ACTN4	60
MYOZ2	60
ACTN3	60
RNMT	61
MORF4L2	61
MRGBP	61
FBXO16	61
MORF4L1	61
GCSAM	62
AK3	62
TRMT2A	62
PPIL6	62
APPBP2	62
MAN2B2	62
MLLT3	62
MUL1	62
SNX5	62
DMTN	63
SIVA1	63
ING3	63
TEX11	63
USP15	63
CEP85L	63
CRYAA2	64
OAZ3	64
RAB39A	64
GORASP2	64
CRYAB	64
RBM46	64
CRYAA	64
ODC1	64
ETHE1	64
ZNF496	65
ZKSCAN4	65
PGBD1	65
ZSCAN32	65
ZNF397	65
ZSCAN18	65
ZSCAN16	65
ZKSCAN7	65
RNF186	65
ZSCAN21	65
ZNF449	65
ZNF263	65
ZNF396	65
SCAND1	65
RER1	65
ZNF174	65
ZSCAN22	65
ZSCAN12	65
ZSCAN9	65
ZNF24	65
ZSCAN23	65
ZNF483	65
ZSCAN25	65
WIPF1	65
SCN5A	66
GSE1	66
TOX4	66
PTGES3L-AARSD1	66
GTF2F2	66
SELENOV	66
ZMYND19	66
TRIM45	66
PPP1R37	67
RALY	67
RALYL	67
HNRNPCL2	67
HNRNPC	67
TIGD3	67
HNRNPCL1	67
LRRC3B	68
EMP1	68
TMEM262	68
CD37	68
CD3G	68
ENKD1	69
LGALS4	69
ANKRD23	69
A1CF	69
ZMAT2	69
SIRPA	70
TRIM3	70
LRRC8E	70
TEAD1	70
TPTEP2-CSNK1E	70
TRIM2	70
CSNK1E	70
CDYL2	71
PRPF38A	71
ABT1	71
GTF2A1	71
SRSF7	71
ZBTB9	71
PHF19	71
TNFAIP8L1	71
DVL3	71
ZBTB8B	72
KCTD10	72
TSHZ3	72
COG4	72
LSM14B	72
BTBD6	72
MED22	72
ZNF580	72
TNIP3	72
CCDC152	72
CUTC	72
CUL3	72
TXNDC9	72
RBM39	72
CD22	72
CDK2AP1	72
CCDC153	72
MYDGF	72
ACY1	72
BTBD3	72
KCTD4	72
CGGBP1	72
POLR2J	72
PRR23B	72
BEND5	72
TNFAIP1	72
HPRT1	72
CDKN2AIPNL	72
AKIRIN2	72
CAVIN4	72
PAX9	72
NADSYN1	72
ACOT13	72
SPANXB1	72
ARID4B	72
UFC1	72
GNPDA2	72
BEX1	72
SFN	72
NTAQ1	72
ZNF185	72
SAP18	72
MXRA8	72
GNMT	72
KCTD13	72
RD3	72
LGALS9B	72
POLL	72
ZNF511	72
DCTPP1	72
BBC3	73
ZXDC	73
WDR5	73
MBIP	73
HSF2	73
INCA1	74
TRIM68	74
MAGED4B	74
PSMB2	74
ZNF32	74
KLHL26	74
DOK4	74
KIR2DL4	74
LGALS3	74
NUDT16L1	74
FAM86C1P	74
THRSP	74
PDCD6	75
PRR19	75
AASDHPPT	75
BAG4	75
DCX	75
USP22	75
TINAGL1	75
TRIM49C	76
LIMS3	76
MINDY3	76
CKS1B	76
TRIM49	76
LIMS4	76
SLC22A18	77
SUMO1	77
ZBTB6	77
C18orf25	77
CCL2	77
RNF4	77
NKX3-1	77
ZFP42	77
LAMB1	78
ITPRIPL1	78
ODAPH	78
BAG6	78
MTX2	78
SHISA4	78
ACOT7	78
COL10A1	78
SLPI	78
PMEPA1	78
SLC16A3	78
HPCAL1	78
CCDC138	78
ZG16B	78
SNX17	78
IST1	78
UBB	78
PPIH	78
DPEP2NB	78
SMIM19	78
LIF	78
ASCL1	78
C1QTNF4	78
CAPN15	78
C6orf15	78
SERPINE1	78
SMIM11A	78
COL9A2	78
PEG10	78
UBC	78
SRGN	78
DMKN	78
SERPINI2	78
VIP	78
GUCA2A	78
RTL8C	78
NME3	78
F10	78
WFDC12	78
RTL8B	78
PEX19	78
UBQLN2	78
DPF2	78
UBQLN1	78
HAUS8	78
SAMD11	78
PRR4	78
OR7D4	78
MGST1	78
CD99L2	78
PLAAT2	78
LAIR2	78
FDCSP	78
UBXN1	78
HIP1	78
RBM24	78
SEZ6L	78
UBAC1	78
CDH15	78
CSN3	78
SMIM11B	78
DESI1	78
CCDC158	78
RNF128	78
GAL	78
UBE2V1	78
NCALD	78
ABHD4	79
ARFIP1	79
TMCO2	79
PBX3	79
PPIF	79
TBRG4	79
FADS6	79
CCSER1	80
MAPRE3	80
C20orf202	80
TROAP	80
KNSTRN	80
SPDYE2	80
ZNF653	80
MAPRE2	80
SPDYE2B	80
MAPRE1	80
MARCHF7	80
TRAIP	80
EPAS1	81
CTTNBP2	81
ARNTL2	81
NPAS2	81
ARNTL	81
APPL1	82
EPM2AIP1	82
APPL2	82
PSMA7	82
PSMA4	82
LHX1	83
LDB1	83
SSBP4	83
LMX1B	83
LHX9	83
TMEM258	84
POMK	84
CERS2	84
FAM177A1	84
C19orf18	84
DPM3	84
IER3IP1	84
AC012254.2	84
CCDC197	85
KRT24	85
KRT27	85
KRT13	85
HAUS1	85
ODAD3	85
RHOA	86
RIPOR3	86
RPP25L	86
POP7	86
ARHGEF2	86
SPG21	87
TSNAXIP1	87
PCNA	87
PPM1J	87
HSBP1L1	87
C3	88
GAGE12F	88
MIDN	88
THG1L	88
RPS21	88
MRI1	88
GAGE12G	88
EXOC3L2	88
FAH	88
CHRDL2	88
SCYL1	88
SPEF1	88
PLEKHF2	88
UBE2D4	89
UBE2D1	89
RNF11	89
PGPEP1	89
UBE2E3	89
ZNRF1	89
UBE2D2	89
UBXN7	89
UBE2D3	89
UBTD1	89
UBE2E2	89
CHFR	89
KRT25	90
KRT28	90
SLC25A42	90
KRT26	90
KRT16	90
KRT33B	90
KRT39	90
VPS28	90
KRT18	90
KRT40	90
KRT15	90
KRT77	90
KRT20	90
KRT37	90
KRT38	90
KRT31	90
KRT35	90
KRT36	90
KRT73	90
CDR2	90
KRT14	90
KRT19	90
CSRNP2	91
PPP1CA	91
PPP1R11	91
